Diagonal, AspectRatio, Ratio
21, 0.1583843043, 3.2446757910
21, 0.3249194029, 6.1717406408
21, 0.5095249481, 8.4946735278
21, 0.7265417171, 9.9860899771
21, 0.9999986732, 10.5000000000
21, 1.3763796163, 9.9860985871
21, 1.9626059993, 8.4946899050
21, 3.0776724217, 6.1717631822
21, 6.3137027194, 3.2447022900
22, 0.0000000000, 0.0000000000
22, 0.1583843043, 3.3991841620
22, 0.3249194029, 6.4656330523
22, 0.5095249481, 8.8991817910
22, 0.7265417171, 10.4616180712
22, 0.9999986732, 11.0000000000
22, 1.3763796163, 10.4616270913
22, 1.9626059993, 8.8991989481
22, 3.0776724217, 6.4656566670
22, 6.3137027194, 3.3992119229
23, 0.0000000000, 0.0000000000
23, 0.1583843043, 3.5536925330
23, 0.3249194029, 6.7595254637
23, 0.5095249481, 9.3036900542
23, 0.7265417171, 10.9371461654
23, 0.9999986732, 11.5000000000
23, 1.3763796163, 10.9371555954
23, 1.9626059993, 9.3037079912
23, 3.0776724217, 6.7595501519
23, 6.3137027194, 3.5537215557
24, 0.0000000000, 0.0000000000
24, 0.1583843043, 3.7082009040
24, 0.3249194029, 7.0534178752
24, 0.5095249481, 9.7081983174
24, 0.7265417171, 11.4126742595
24, 0.9999986732, 12.0000000000
24, 1.3763796163, 11.4126840996
24, 1.9626059993, 9.7082170343
24, 3.0776724217, 7.0534436368
24, 6.3137027194, 3.7082311886
25, 0.0000000000, 0.0000000000
25, 0.1583843043, 3.8627092750
25, 0.3249194029, 7.3473102867
25, 0.5095249481, 10.1127065807
25, 0.7265417171, 11.8882023537
25, 0.9999986732, 12.5000000000
25, 1.3763796163, 11.8882126037
25, 1.9626059993, 10.1127260774
25, 3.0776724217, 7.3473371216
25, 6.3137027194, 3.8627408215
26, 0.0000000000, 0.0000000000
26, 0.1583843043, 4.0172176460
26, 0.3249194029, 7.6412026981
26, 0.5095249481, 10.5172148439
26, 0.7265417171, 12.3637304478
26, 0.9999986732, 13.0000000000
26, 1.3763796163, 12.3637411079
26, 1.9626059993, 10.5172351205
26, 3.0776724217, 7.6412306065
26, 6.3137027194, 4.0172504543
27, 0.0000000000, 0.0000000000
27, 0.1583843043, 4.1717260170
27, 0.3249194029, 7.9350951096
27, 0.5095249481, 10.9217231071
27, 0.7265417171, 12.8392585420
27, 0.9999986732, 13.5000000000
27, 1.3763796163, 12.8392696120
27, 1.9626059993, 10.9217441636
27, 3.0776724217, 7.9351240914
27, 6.3137027194, 4.1717600872
28, 0.0000000000, 0.0000000000
28, 0.1583843043, 4.3262343880
28, 0.3249194029, 8.2289875211
28, 0.5095249481, 11.3262313703
28, 0.7265417171, 13.3147866361
28, 0.9999986732, 14.0000000000
28, 1.3763796163, 13.3147981162
28, 1.9626059993, 11.3262532067
28, 3.0776724217, 8.2290175762
28, 6.3137027194, 4.3262697200
29, 0.0000000000, 0.0000000000
29, 0.1583843043, 4.4807427591
29, 0.3249194029, 8.5228799325
29, 0.5095249481, 11.7307396336
29, 0.7265417171, 13.7903147302
29, 0.9999986732, 14.5000000000
29, 1.3763796163, 13.7903266203
29, 1.9626059993, 11.7307622498
29, 3.0776724217, 8.5229110611
29, 6.3137027194, 4.4807793529
30, 0.0000000000, 0.0000000000
30, 0.1583843043, 4.6352511301
30, 0.3249194029, 8.8167723440
30, 0.5095249481, 12.1352478968
30, 0.7265417171, 14.2658428244
30, 0.9999986732, 15.0000000000
30, 1.3763796163, 14.2658551244
30, 1.9626059993, 12.1352712929
30, 3.0776724217, 8.8168045460
30, 6.3137027194, 4.6352889857
31, 0.0000000000, 0.0000000000
31, 0.1583843043, 4.7897595011
31, 0.3249194029, 9.1106647555
31, 0.5095249481, 12.5397561600
31, 0.7265417171, 14.7413709185
31, 0.9999986732, 15.5000000000
31, 1.3763796163, 14.7413836286
31, 1.9626059993, 12.5397803360
31, 3.0776724217, 9.1106980308
31, 6.3137027194, 4.7897986186
32, 0.0000000000, 0.0000000000
32, 0.1583843043, 4.9442678721
32, 0.3249194029, 9.4045571669
32, 0.5095249481, 12.9442644232
32, 0.7265417171, 15.2168990127
32, 0.9999986732, 16.0000000000
